X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,y_test
3,4,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3,aug
3,4,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0,aug
2,2,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,sep
6,3,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13,feb
8,6,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23,aug
8,8,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76,aug
2,5,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,0.0,jul
8,6,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57,jul
6,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,mar
2,4,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85,aug
7,5,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,aug
7,4,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,aug
6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,sep
3,4,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,mar
3,4,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29,aug
4,5,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0.0,aug
4,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64,jul
1,4,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75,aug
4,5,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0,feb
4,6,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0,mar
7,4,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24,mar
3,5,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,oct
6,5,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0.0,aug
6,5,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01,sep
9,4,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66,sep
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0,aug
7,5,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0,jul
5,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99,mar
1,4,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0.0,sep
4,4,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,mar
6,4,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14,feb
8,5,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68,aug
6,5,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0.0,mar
8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,aug
2,5,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43,aug
7,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,sep
6,3,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,0.0,sep
8,6,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,aug
7,4,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52,sep
3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,aug
4,5,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72,sep
3,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,jul
6,5,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39,feb
4,4,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,aug
2,2,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,feb
6,5,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,0.0,feb
1,2,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,aug
1,4,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0,sep
8,5,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,sep
6,5,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09,sep
3,4,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,aug
8,6,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,aug
5,4,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17,aug
4,3,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,0.0,aug
1,3,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33,sep
7,4,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64,sep
4,3,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0,sep
9,4,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32,jun
3,4,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76,aug
5,4,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0,sep
6,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,mar
4,4,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,jul
4,6,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98,dec
2,4,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95,sep
8,6,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0,aug
